Discharge	Stage
384	6.23
520	6.62
193	4.77
77.9	4.23
77.8	4.23
66.6	4.2
67.9	4.23
67.6	4.2
70.9	4.2
76.3	4.27
84.7	4.34
76.6	4.21
92.4	4.33
91.8	4.33
80.6	4.18
50.3	4.1
76.3	4.23
82.3	4.24
116	4.44
232	4.94
65.7	4.18
63.2	4.17
62.7	4.18
63.8	4.18
59.2	4.18
71	4.21
72.4	4.21
72.2	4.21
87	4.26
100	4.35
93.9	4.35
73.8	4.18
62.5	4.16
66.6	4.16
68	4.18
76.6	4.22
64	4.13
274	5.12
86.8	4.28
114	4.4
67.2	4.19
72	4.24
61.9	4.2
71.8	4.22
78.9	4.23
97.8	4.36
91.6	4.33
114	4.45
251	5.1
338	5.56
290	5.07
81.7	4.23
63.1	4.11
84.8	4.29
88.3	4.28
98	4.32
217	4.77
66.2	4.16
69.5	4.17
64.4	4.17
61.7	4.12
86.2	4.26
87.4	4.3
84.3	4.26
96.8	4.3
62.9	4.1
73.4	4.18
72.7	4.18
68.7	4.16
34.9	3.92
236	4.86
377	5.36
337	5.19
160	4.52
80.3	4.21
73.6	4.18
76.2	4.22
78	4.2
35.8	3.88
276	5.14
426	5.58
254	4.98
71.5	4.22
114	4.42
151	4.57
91.4	4.32
100	4.34
40.3	3.99
