Discharge	Stage
384	2.73
520	3.12
193	1.27
77.9	0.73
77.8	0.73
66.6	0.7
67.9	0.73
67.6	0.7
70.9	0.7
76.3	0.77
84.7	0.84
76.6	0.71
92.4	0.83
91.8	0.83
80.6	0.68
50.3	0.6
76.3	0.73
82.3	0.74
116	0.94
232	1.44
65.7	0.68
63.2	0.67
62.7	0.68
63.8	0.68
59.2	0.68
71	0.71
72.4	0.71
72.2	0.71
87	0.76
100	0.85
93.9	0.85
73.8	0.68
62.5	0.66
66.6	0.66
68	0.68
76.6	0.72
64	0.63
274	1.62
86.8	0.78
114	0.9
67.2	0.69
72	0.74
61.9	0.7
71.8	0.72
78.9	0.73
97.8	0.86
91.6	0.83
114	0.95
251	1.6
338	2.06
290	1.57
81.7	0.73
63.1	0.61
84.8	0.79
88.3	0.78
98	0.82
217	1.27
66.2	0.66
69.5	0.67
64.4	0.67
61.7	0.62
86.2	0.76
87.4	0.8
84.3	0.76
96.8	0.8
62.9	0.6
73.4	0.68
72.7	0.68
68.7	0.66
34.9	0.42
236	1.36
377	1.86
337	1.69
160	1.02
80.3	0.71
73.6	0.68
76.2	0.72
78	0.7
35.8	0.38
276	1.64
426	2.08
254	1.48
71.5	0.72
114	0.92
151	1.07
91.4	0.82
100	0.84
40.3	0.49
